id,created_at,csp_id,first_name,last_name,email,cell,team_number,team_letter,executive,weekday
119,2024-02-19 01:29:21.710311+00,29695848605,Jake,Bryant,fake@gmail.com,555-555-5555,2,j,,false
120,2024-02-19 01:29:21.710311+00,3685050695,Abby,Clark,fake@gmail.com,555-555-5555,3,a,,false
121,2024-02-19 01:29:21.710311+00,36859458604,Brandon,Cooper,fake@gmail.com,,3,b,,false
122,2024-02-19 01:29:21.710311+00,305868547475,Chloe,Carter,fake@gmail.com,555-555-5555,3,c,,false
123,2024-02-19 01:29:21.710311+00,3869494584,Drew,Collins,fake@gmail.com,555-555-5555,3,d,,true
124,2024-02-19 01:29:21.710311+00,38685940685,Ella,Cruz,,555-555-5555,3,e,,false
125,2024-02-19 01:29:21.710311+00,38866075757,Frank,Campbell,fake@gmail.com,555-555-5555,3,f,,false
126,2024-02-19 01:29:21.710311+00,32117394959,Gavin,Cook,fake@gmail.com,555-555-5555,3,g,,false
127,2024-02-19 01:29:21.710311+00,3722859549,Hailey,Cole,fake@gmail.com,,3,h,,false
128,2024-02-19 01:29:21.710311+00,3929285769,Ian,Clark,fake@gmail.com,555-555-5555,3,i,,false
129,2024-02-19 01:29:21.710311+00,3859606049,Jenna,Churno,fake@gmail.com,555-555-5555,3,j,,false
130,2024-02-19 01:29:21.710311+00,4686004473,Avery,Davis,fake@gmail.com,555-555-5555,4,a,,false
131,2024-02-19 01:29:21.710311+00,4546969843,Brooke,Daniels,,555-555-5555,4,b,,false
132,2024-02-19 01:29:21.710311+00,4666050578,Caleb,Duncan,fake@gmail.com,555-555-5555,4,c,,false
133,2024-02-19 01:29:21.710311+00,4622895958,Derek,Diaz,fake@gmail.com,555-555-5555,4,d,,false
134,2024-02-19 01:29:21.710311+00,4960705884,Elena,Dawson,fake@gmail.com,555-555-5555,4,e,,false
135,2024-02-19 01:29:21.710311+00,496969487473,Finn,Doyle,fake@gmail.com,555-555-5555,4,f,,false
136,2024-02-19 01:29:21.710311+00,4697058584,Gia,Douglas,fake@gmail.com,,4,g,,false
137,2024-02-19 01:29:21.710311+00,449697606958,Hugo,Dean,fake@gmail.com,555-555-5555,4,h,,false
138,2024-02-19 01:29:21.710311+00,49969786050,Isabel,Dunn,fake@gmail.com,555-555-5555,4,i,,false
139,2024-02-19 01:29:21.710311+00,496969445855,Jace,Dixon,fake@gmail.com,555-555-5555,4,j,,false
140,2024-02-19 01:29:21.710311+00,5697959586,Alex,Edwards,fake@gmail.com,555-555-5555,5,a,,false
141,2024-02-19 01:29:21.710311+00,507979392,Bailey,Evans,,555-555-5555,5,b,,false
142,2024-02-19 01:29:21.710311+00,592284930,Carrie,Ellis,fake@gmail.com,555-555-5555,5,c,,false
143,2024-02-19 01:29:21.710311+00,50202848594,Danielle,Erins,fake@gmail.com,555-555-5555,5,d,,false
144,2024-02-19 01:29:21.710311+00,5030386585,Erin,Erikson,fake@gmail.com,,5,e,,false
145,2024-02-19 01:29:21.710311+00,50392858503,Francis,Epp,fake@gmail.com,555-555-5555,5,f,,false
146,2024-02-19 01:29:21.710311+00,50392273950,Gary,Ebony,fake@gmail.com,555-555-5555,5,g,,false
147,2024-02-19 01:29:21.710311+00,50202847504,Harry,Elton,,555-555-5555,5,h,,false
148,2024-02-19 01:29:21.710311+00,5028938495,Ivan,Estop,fake@gmail.com,555-555-5555,5,i,,false
149,2024-02-19 01:29:21.710311+00,52028593033,Jill,Ender,fake@gmail.com,555-555-5555,5,j,,false
150,2024-02-19 01:29:21.710311+00,649345844,Andrew,Franz,fake@gmail.com,555-555-5555,6,a,,true
151,2024-02-19 01:29:21.710311+00,6504046844,Byron,Fillip,fake@gmail.com,555-555-5555,6,b,,true
152,2024-02-19 01:29:21.710311+00,6049385485,Chris,Ferve,fake@gmail.com,,6,c,,true
153,2024-02-19 01:29:21.710311+00,6049348586,Dexter,Fallon,fake@gmail.com,555-555-5555,6,d,,true
154,2024-02-19 01:29:21.710311+00,70305499,Alton,Grizly,fake@gmail.com,555-555-5555,7,a,pl,true
155,2024-02-19 01:29:21.710311+00,703939859,Becky,Graff,fake@gmail.com,555-555-5555,7,b,,false
156,2024-02-19 01:29:21.710311+00,7030395,Callum,Gavros,fake@gmail.com,555-555-5555,7,c,,false
